Win,Score,Spread,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,12,22,Florida,Albany,0.5494,0.4401,32,18,2,14,0.6701,0.4898,90.6,46.7,0,0,2,196,0.9476,0.4582,0,0,3,177,117.1,101.7,87.9,103.1,0.5944,0.4497,12,8,18,-1,10,0,2,1,8,60,8,15,0,9,26,3,410,42.676,1,16
0,-29,-6,Colorado,Pitt,0.5695,0.5573,23,25,11,9,0.5964,0.5875,73.8,84.1,0,0,51,13,0.7502,0.8841,0,0,64,18,106.1,116.3,95.3,95.6,0.5761,0.5563,7,7,2,-2,5,2,8,6,11,11,11,11,0,0,10,10,116.235,31.548,8,9
0,-2,6,VCU,Stephen F Austin,0.5565,0.4497,26,31,8,2,0.622,0.5688,83.1,67.7,0,0,18,73,0.8972,0.7642,0,0,12,59,108.6,112.2,87.3,100.3,0.5715,0.4463,8,12,5,-1,5,0,5,1,13,28,13,23,0,1,6,28,295,6.491,5,12
1,17,8.5,UCLA,Tulsa,0.5695,0.4974,26,21,8,12,0.6202,0.5589,83.4,65.8,0,0,16,83,0.8885,0.743,0,0,16,68,117.8,105.4,96.5,94.7,0.5794,0.5316,9,11,9,-1,7,1,5,3,12,35,7,15,1,4,8,11,61.727,4.893,4,13
0,-1,6.5,Ohio St,Dayton,0.5713,0.5565,25,23,9,10,0.6079,0.5824,83.2,74,0,0,17,47,0.8828,0.7834,0,0,19,53,107.5,113.9,87.7,100.6,0.5777,0.5539,8,10,8,2,6,4,4,6,5,21,5,11,0,2,15,6,365,5.234,6,11
1,24,13,Syracuse,Western Michigan,0.5573,0.5085,27,23,5,9,0.6204,0.5591,84.1,59.2,0,0,14,119,0.8926,0.6182,0,0,15,113,113.4,107.2,93.3,101.8,0.5537,0.506,7,11,12,-1,7,1,2,3,18,29,8,14,2,3,25,8,375,4.985,3,14
0,-5,4.5,New Mexico,Stanford,0.5266,0.5695,27,21,6,12,0.6187,0.5835,80.4,76.5,0,0,27,36,0.857,0.8182,0,0,28,37,113.2,113,95.7,98.1,0.5648,0.5771,10,7,1,1,2,5,3,9,10,9,10,9,0,0,6,4,121.257,5.311,7,10
1,11,13,Kansas,Eastern Kentucky,0.5812,0.4593,24,24,9,9,0.656,0.5367,87.5,56.3,0,0,5,139,0.9108,0.5777,0,0,9,129,118.7,111.8,96.4,108.5,0.6344,0.472,8,10,17,-2,12,0,7,2,3,32,3,17,0,3,7,7,360,5.325,2,15
1,11,19.5,Virginia,Coastal Carolina,0.5573,0.4442,28,21,6,12,0.6333,0.4854,86.8,47.1,0,0,6,191,0.9419,0.3551,0,0,4,232,114.8,96.9,87.4,102,0.574,0.4476,11,9,6,-1,5,0,4,1,9,53,9,18,0,7,13,5,33.661,5.417,1,16
1,5,4,Memphis,George Washington,0.5451,0.5565,23,24,9,8,0.5952,0.6012,74.5,76.4,0,0,43,38,0.802,0.8017,0,0,45,46,110.6,110,96.7,96.4,0.5627,0.5488,7,7,1,4,4,4,7,4,15,12,15,12,0,0,6,6,115,3.798,8,9
0,-4,3,Cincinnati,Harvard,0.5451,0.4817,27,26,6,4,0.6123,0.5782,80.6,76.4,0,0,24,37,0.8701,0.839,0,0,24,33,108.2,111.7,89.8,95.5,0.552,0.4797,8,11,7,-2,6,0,5,2,15,20,15,15,0,1,15,9,165,131.533,5,12
1,15,15,Michigan St,Delaware,0.5713,0.4901,26,25,8,9,0.6156,0.5591,84.9,62.9,0,0,9,97,0.9038,0.6367,0,0,10,105,118.1,111.4,95.7,105.6,0.5796,0.4907,7,10,8,-3,7,0,6,3,7,24,7,19,0,1,11,13,200,4.894,4,13
1,2,4.5,North Carolina,Providence,0.5573,0.5645,23,23,9,11,0.6061,0.5822,79.2,74.1,0,0,29,46,0.8646,0.8115,0,0,26,40,111.7,115.4,94.1,100.1,0.576,0.5586,10,7,5,-2,5,2,5,6,12,6,7,6,1,0,12,6,265,4.624,6,11
1,18,8.5,Iowa St,NC Central,0.5812,0.4253,26,28,7,5,0.6344,0.5351,84.1,62.9,0,0,12,98,0.8758,0.7189,0,0,23,78,117.3,107.9,96.8,98.6,0.5814,0.4188,9,12,11,-2,8,0,5,2,8,34,8,24,0,2,14,20,161,4.432,3,14
1,8,4.5,UCONN,St Josephs,0.5451,0.5565,26,24,8,9,0.6087,0.5944,79.7,73.3,0,0,28,55,0.8688,0.7935,0,0,25,49,110.1,110.6,91.8,97.2,0.5693,0.5594,9,9,10,7,7,6,4,5,13,16,13,11,0,1,9,6,212.667,4.681,7,10
1,20,16.5,Villanova,Milwaukee,0.5645,0.4936,28,21,4,13,0.6406,0.5171,86.4,54,0,0,7,148,0.9196,0.489,0,0,6,163,117.3,104.6,92.8,104.8,0.5678,0.4797,10,8,9,-1,6,0,3,1,6,56,6,16,0,8,11,5,61.2,3.97,2,15
1,9,20,Arizona,Weber St,0.5695,0.4549,30,19,4,11,0.6664,0.5069,91.2,52.5,0,0,1,157,0.954,0.4782,0,0,1,169,113.4,105.8,85.8,106.2,0.5965,0.4647,9,8,20,-2,11,0,2,2,8,51,8,16,0,7,21,6,241.971,6.712,1,16
1,8,-4,Gonzaga,Oklahoma St,0.533,0.5812,28,21,6,12,0.6114,0.5804,80.5,83,0,0,25,19,0.8804,0.878,0,0,20,22,112,114.9,92.5,94.8,0.5428,0.5692,9,5,1,-2,2,4,3,10,15,6,15,6,0,0,7,7,130,22.54,8,9
0,-5,3.5,Oklahoma,North Dakota St,0.5812,0.4867,23,25,9,6,0.6041,0.5928,80.4,70.1,0,0,26,64,0.8538,0.7713,0,0,29,55,118,115.9,99.3,102.9,0.5792,0.5182,7,11,9,-2,7,0,5,2,8,16,8,11,0,1,7,9,43.007,5.434,5,12
1,4,8,San Diego St,New Mexico St,0.5266,0.4676,29,25,4,9,0.617,0.5565,81.3,66.5,0,0,22,77,0.8787,0.7325,0,0,21,72,108.6,112.7,89.4,102.4,0.5402,0.4892,9,10,4,-1,3,1,2,3,11,40,11,20,0,4,20,7,145,70.97,4,13
1,14,3.5,Baylor,Nebraska,0.5812,0.5713,22,19,11,12,0.5987,0.5775,76.5,71.5,0,0,35,57,0.8492,0.7977,0,0,31,48,118.3,109,101.5,94.8,0.5893,0.5696,10,9,8,1,8,4,8,7,8,11,8,6,0,1,6,5,138.648,4.206,6,11
1,10,13.5,Creighton,Louisiana-Lafayette,0.5645,0.4815,26,20,7,11,0.628,0.5429,83.8,58.5,0,0,15,123,0.9121,0.6106,0,0,8,115,124.1,110.2,102.2,105.7,0.5757,0.4966,8,10,12,-2,8,0,4,2,5,36,5,16,0,4,10,6,141.179,4.041,3,14
1,19,5,Oregon,BYU,0.5695,0.533,23,23,9,11,0.604,0.5961,82.3,74.8,0,0,20,42,0.8524,0.7919,0,0,30,50,118.1,114.1,100,100.6,0.5763,0.5727,9,10,7,0,8,3,9,6,8,27,8,12,0,3,13,6,163.195,92.667,7,10
1,40,14,Wisconsin,American U,0.5713,0.4757,26,20,7,12,0.6382,0.5197,84.7,56.7,0,0,11,137,0.9,0.6636,0,0,11,96,119.6,103.4,98,96.4,0.5986,0.4763,9,7,10,-1,7,0,4,1,4,50,4,15,0,7,16,11,170,23.208,2,15
1,27,16.5,Wichita St,Cal Poly,0.5129,0.4676,34,13,0,19,0.6437,0.4783,88.4,47.5,0,0,3,190,0.9391,0.4697,0,0,5,173,118.3,103.5,90.9,104,0.5446,0.5092,12,5,6,-4,3,0,0,4,13,47,13,7,0,8,34,3,296.568,4.958,1,16
1,7,6,Kentucky,Kansas St,0.5494,0.5812,24,20,10,12,0.6173,0.5745,84.9,73.9,0,0,10,49,0.8844,0.8041,0,0,17,44,116,108.6,95.4,94.4,0.5966,0.5706,7,6,2,6,4,7,6,8,6,14,6,9,0,1,5,10,332.545,100,8,9
1,3,3,St Louis,NCST,0.5565,0.5573,26,21,6,13,0.6057,0.5707,78.7,69.7,0,0,30,66,0.8286,0.7462,0,0,34,66,104.7,114.1,89.5,103.1,0.549,0.5678,8,7,6,-3,5,3,4,9,19,10,14,10,1,0,18,7,135.774,140.968,5,12
1,7,16,Louisville,Manhattan,0.5451,0.4884,29,25,5,7,0.6125,0.564,88.2,67,0,0,4,74,0.9515,0.7434,0,0,2,67,118.3,106.3,88.8,95.8,0.5455,0.492,11,11,3,-1,4,0,5,1,16,30,16,15,0,3,7,8,460,3.967,4,13
0,-19,-6,UMass,Tennessee,0.5565,0.5494,24,21,8,12,0.6116,0.5835,78.1,78.6,0,0,32,31,0.7859,0.8968,0,0,52,13,109.2,114,95.9,93.1,0.5662,0.5733,7,7,10,0,7,3,4,6,16,7,11,7,1,0,10,5,5.733,24.101,6,11
0,-7,13,Duke,Mercer,0.5573,0.4626,26,26,8,8,0.6346,0.5504,85.3,62.4,0,0,8,103,0.9126,0.6578,0,0,7,99,123.6,107.9,100.8,100.8,0.5907,0.4772,9,9,8,-2,6,0,4,2,9,44,9,19,0,5,5,8,185,5.567,3,14
1,2,2.5,Texas,Arizona St,0.5812,0.5695,23,21,10,11,0.5918,0.581,74.2,75.7,0,0,45,39,0.8137,0.8009,0,0,39,47,110.1,109.1,95.6,94.7,0.5647,0.5594,6,6,4,2,6,4,8,6,8,8,8,8,0,0,7,6,61.882,4.256,7,10
1,17,15,Michigan,Wofford,0.5713,0.4382,25,20,8,12,0.6276,0.5032,80.8,49.8,0,0,23,174,0.8938,0.4484,0,0,15,184,123.3,100.8,100.8,102.5,0.5911,0.4633,9,10,15,-3,10,0,5,3,5,37,5,17,0,4,10,9,340,4.772,2,15
1,23,34.5,Kentucky,Hampton,0.5557,0.4287,34,16,0,17,0.678,0.4579,95.3,34.3,0,0,1,288,0.9787,0.3131,0,0,1,250,119.7,95.6,85.8,102.3,0.5704,0.4361,12,8,22,-1,11,0,0,1,9,71,9,16,0,11,34,4,461.909,4.405,1,16
1,1,2,Cincinnati,Purdue,0.5264,0.5666,22,21,10,12,0.5828,0.5677,73,74.5,0,0,45,39,0.8242,0.7825,0,0,34,49,106.7,108.5,93.3,97.1,0.5516,0.552,7,8,9,2,6,4,3,6,26,14,11,9,3,1,5,4,120,53.287,8,9
1,6,4.5,West Virginia,Buffalo,0.5882,0.517,23,23,9,9,0.6042,0.5961,79.4,71.3,0,0,22,55,0.8539,0.7759,0,0,25,54,111.2,109.8,95.4,98.5,0.5678,0.5409,6,9,6,-2,7,0,8,2,10,18,10,13,0,1,7,8,23.279,5.146,5,12
1,3,5,Maryland,Valparaiso,0.5666,0.4939,27,28,6,5,0.6262,0.5714,78.2,67.7,0,0,27,72,0.8289,0.7499,0,0,33,63,108.5,103.8,94.6,94.3,0.5595,0.475,9,10,6,0,5,0,4,0,12,38,12,18,0,4,8,7,5.161,33.451,4,13
1,8,12,Butler,Texas,0.5728,0.5882,22,20,10,13,0.5932,0.5787,79.3,78.8,0,0,23,25,0.8624,0.8725,0,0,23,20,107.5,110.3,91.7,93.3,0.5672,0.5801,8,6,4,-6,6,3,8,12,7,9,7,9,0,0,5,7,63.029,101.412,6,11
1,4,-2,Notre Dame,Northeastern,0.5679,0.4844,29,23,5,11,0.616,0.5434,84.2,58.4,0,0,9,123,0.9127,0.598,0,0,10,120,122.2,106,99.7,102.4,0.5428,0.4885,9,9,11,0,7,0,3,0,12,53,12,18,0,7,11,4,26.875,4.096,3,14
1,5,6.5,Wichita St,Indiana,0.5134,0.5666,28,20,4,13,0.6155,0.5652,83.3,72.9,0,0,13,46,0.9044,0.7762,0,0,14,49,113,116.6,92.9,104.7,0.5245,0.5683,10,4,2,-1,2,4,2,9,15,9,15,9,0,0,9,4,240,122.125,7,10
1,19,9.5,Kansas,New Mexico St,0.5882,0.4326,26,23,8,10,0.6687,0.5333,86.4,62.7,0,0,8,97,0.9111,0.6674,0,0,11,88,110.8,104.1,90.5,97.9,0.6261,0.4759,7,12,17,-3,12,0,7,3,2,38,2,18,0,4,8,13,240,90,2,15
1,14,20.5,Wisconsin,Coastal Carolina,0.5666,0.4653,31,24,3,9,0.6678,0.5188,91.8,57.4,0,0,2,126,0.9615,0.5371,0,0,3,148,124.7,103.5,94.3,102.2,0.5838,0.4506,11,9,16,-1,9,0,2,1,10,35,5,15,1,4,10,6,295,42.674,1,16
1,6,0,Oregon,Oklahoma St,0.5551,0.5882,25,18,9,13,0.5977,0.5716,72.9,72.9,0,0,47,48,0.7973,0.8141,0,0,46,37,113.3,109.4,100.6,96.2,0.5621,0.5792,10,5,1,3,3,6,5,9,13,11,8,6,1,1,7,7,201.412,55.909,8,9
1,3,7.5,Arkansas,Wofford,0.5557,0.4653,26,28,8,6,0.6123,0.5744,79.9,64,0,0,21,92,0.8416,0.6617,0,0,29,90,113,103.3,97.7,97.5,0.5622,0.4815,9,11,5,0,4,1,3,2,11,27,11,22,0,1,7,8,5.494,42.37,5,12
1,2,9.5,North Carolina,Harvard,0.5679,0.4974,24,22,11,7,0.6273,0.5697,83.7,65.7,0,0,10,81,0.9019,0.7058,0,0,16,78,115.3,102,95,94.6,0.6153,0.5046,7,10,4,-1,7,0,10,1,6,36,6,16,0,4,6,8,210,195,4,13
1,19,2,Xavier,Ole Miss,0.5728,0.5557,21,20,13,12,0.5948,0.5654,77.4,75.3,0,0,28,36,0.8518,0.7996,0,0,26,44,111.9,112.9,96.1,100.1,0.59,0.5548,7,7,9,1,8,3,7,5,10,13,5,8,1,1,5,6,101.645,78.48,6,11
0,-1,9.5,Baylor,Georgia St,0.5882,0.4796,24,24,9,9,0.6299,0.5695,81.1,65.9,0,0,19,79,0.9038,0.7345,0,0,15,71,114.8,108.4,94.5,99.2,0.6012,0.4998,8,10,9,-3,8,0,7,3,6,31,6,16,0,3,6,5,321.865,5.726,3,14
0,-3,-3.5,VCU,Ohio St,0.532,0.5666,26,23,9,10,0.6198,0.5798,78.4,82.2,0,0,26,17,0.84,0.868,0,0,30,21,108.1,111.6,93.6,94.7,0.5822,0.5474,8,7,7,-5,6,1,5,7,10,11,10,11,0,0,12,5,130,250,7,10
1,21,23.5,Arizona,Texas Southern,0.5551,0.4133,31,22,3,12,0.6631,0.5251,91,45.5,0,0,3,211,0.9674,0.4111,0,0,2,207,116,101.7,86.4,104.9,0.571,0.4543,11,11,18,-1,9,1,0,3,7,35,7,20,0,3,12,11,246.314,22.554,2,15
1,41,22,Villanova,Lafayette,0.5728,0.4879,32,20,2,12,0.6691,0.5228,90.4,48.4,0,0,6,185,0.9571,0.4284,0,0,5,195,120.8,110.3,92.2,113.1,0.5709,0.489,12,8,25,-2,13,0,1,2,8,46,8,16,0,6,15,4,70.8,3.935,1,16
1,1,2,NCST,LSU,0.5679,0.5557,20,22,13,10,0.5799,0.5658,74.8,73.9,0,0,37,41,0.8111,0.8006,0,0,38,43,111.5,106.8,98.2,94.7,0.5883,0.5352,7,6,0,4,4,3,8,2,11,16,6,6,1,2,6,8,155,5.283,8,9
1,17,6.5,Northern Iowa,Wyoming,0.5134,0.5131,30,25,3,9,0.6222,0.5588,83.3,61.9,0,0,14,102,0.908,0.6373,0,0,12,102,113.8,101.8,93.2,97,0.5164,0.4993,11,7,4,7,3,5,2,3,17,28,17,13,0,3,16,7,4.991,5.219,5,12
