Win,Score,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,12,Florida,Albany,.5494,.4401,32,18,2,14,.6701,.4898,90.6,46.7,0,0,2,196,.9476,.4582,0,0,3,177,117.1,101.7,87.9,103.1,.5944,.4497,12,8,18,-1,10,0,2,1,8,60,8,15,0,9,26,3,410.000,42.676,1,16
0,-29,Colorado,Pitt,.5695,.5573,23,25,11,9,.5964,.5875,73.8,84.1,0,0,51,13,.7502,.8841,0,0,64,18,106.1,116.3,95.3,95.6,.5761,.5563,7,7,2,-2,5,2,8,6,11,11,11,11,0,0,10,10,116.235,31.548,8,9
0,-2,VCU,Stephen F Austin,.5565,.4497,26,31,8,2,.6220,.5688,83.1,67.7,0,0,18,73,.8972,.7642,0,0,12,59,108.6,112.2,87.3,100.3,.5715,.4463,8,12,5,-1,5,0,5,1,13,28,13,23,0,1,6,28,295.000,6.491,5,12
1,17,UCLA,Tulsa,.5695,.4974,26,21,8,12,.6202,.5589,83.4,65.8,0,0,16,83,.8885,.7430,0,0,16,68,117.8,105.4,96.5,94.7,.5794,.5316,9,11,9,-1,7,1,5,3,12,35,7,15,1,4,8,11,61.727,4.893,4,13
0,-1,Ohio St,Dayton,.5713,.5565,25,23,9,10,.6079,.5824,83.2,74.0,0,0,17,47,.8828,.7834,0,0,19,53,107.5,113.9,87.7,100.6,.5777,.5539,8,10,8,2,6,4,4,6,5,21,5,11,0,2,15,6,365.000,5.234,6,11
1,24,Syracuse,Western Michigan,.5573,.5085,27,23,5,9,.6204,.5591,84.1,59.2,0,0,14,119,.8926,.6182,0,0,15,113,113.4,107.2,93.3,101.8,.5537,.5060,7,11,12,-1,7,1,2,3,18,29,8,14,2,3,25,8,375.000,4.985,3,14
0,-5,New Mexico,Stanford,.5266,.5695,27,21,6,12,.6187,.5835,80.4,76.5,0,0,27,36,.8570,.8182,0,0,28,37,113.2,113.0,95.7,98.1,.5648,.5771,10,7,1,1,2,5,3,9,10,9,10,9,0,0,6,4,121.257,5.311,7,10
1,11,Kansas,Eastern Kentucky,.5812,.4593,24,24,9,9,.6560,.5367,87.5,56.3,0,0,5,139,.9108,.5777,0,0,9,129,118.7,111.8,96.4,108.5,.6344,.4720,8,10,17,-2,12,0,7,2,3,32,3,17,0,3,7,7,360.000,5.325,2,15
1,11,Virginia,Coastal Carolina,.5573,.4442,28,21,6,12,.6333,.4854,86.8,47.1,0,0,6,191,.9419,.3551,0,0,4,232,114.8,96.9,87.4,102.0,.5740,.4476,11,9,6,-1,5,0,4,1,9,53,9,18,0,7,13,5,33.661,5.417,1,16
1,5,Memphis,George Washington,.5451,.5565,23,24,9,8,.5952,.6012,74.5,76.4,0,0,43,38,.8020,.8017,0,0,45,46,110.6,110.0,96.7,96.4,.5627,.5488,7,7,1,4,4,4,7,4,15,12,15,12,0,0,6,6,115.000,3.798,8,9
0,-4,Cincinnati,Harvard,.5451,.4817,27,26,6,4,.6123,.5782,80.6,76.4,0,0,24,37,.8701,.8390,0,0,24,33,108.2,111.7,89.8,95.5,.5520,.4797,8,11,7,-2,6,0,5,2,15,20,15,15,0,1,15,9,165.000,131.533,5,12
1,15,Michigan St,Delaware,.5713,.4901,26,25,8,9,.6156,.5591,84.9,62.9,0,0,9,97,.9038,.6367,0,0,10,105,118.1,111.4,95.7,105.6,.5796,.4907,7,10,8,-3,7,0,6,3,7,24,7,19,0,1,11,13,200.000,4.894,4,13
1,2,North Carolina,Providence,.5573,.5645,23,23,9,11,.6061,.5822,79.2,74.1,0,0,29,46,.8646,.8115,0,0,26,40,111.7,115.4,94.1,100.1,.5760,.5586,10,7,5,-2,5,2,5,6,12,6,7,6,1,0,12,6,265.000,4.624,6,11
1,18,Iowa St,NC Central,.5812,.4253,26,28,7,5,.6344,.5351,84.1,62.9,0,0,12,98,.8758,.7189,0,0,23,78,117.3,107.9,96.8,98.6,.5814,.4188,9,12,11,-2,8,0,5,2,8,34,8,24,0,2,14,20,161.000,4.432,3,14
1,8,UCONN,St Josephs,.5451,.5565,26,24,8,9,.6087,.5944,79.7,73.3,0,0,28,55,.8688,.7935,0,0,25,49,110.1,110.6,91.8,97.2,.5693,.5594,9,9,10,7,7,6,4,5,13,16,13,11,0,1,9,6,212.667,4.681,7,10
1,20,Villanova,Milwaukee,.5645,.4936,28,21,4,13,.6406,.5171,86.4,54.0,0,0,7,148,.9196,.4890,0,0,6,163,117.3,104.6,92.8,104.8,.5678,.4797,10,8,9,-1,6,0,3,1,6,56,6,16,0,8,11,5,61.200,3.970,2,15
1,9,Arizona,Weber St,.5695,.4549,30,19,4,11,.6664,.5069,91.2,52.5,0,0,1,157,.9540,.4782,0,0,1,169,113.4,105.8,85.8,106.2,.5965,.4647,9,8,20,-2,11,0,2,2,8,51,8,16,0,7,21,6,241.971,6.712,1,16
1,8,Gonzaga,Oklahoma St,.5330,.5812,28,21,6,12,.6114,.5804,80.5,83.0,0,0,25,19,.8804,.8780,0,0,20,22,112.0,114.9,92.5,94.8,.5428,.5692,9,5,1,-2,2,4,3,10,15,6,15,6,0,0,7,7,130.000,22.540,8,9
0,-5,Oklahoma,North Dakota St,.5812,.4867,23,25,9,6,.6041,.5928,80.4,70.1,0,0,26,64,.8538,.7713,0,0,29,55,118.0,115.9,99.3,102.9,.5792,.5182,7,11,9,-2,7,0,5,2,8,16,8,11,0,1,7,9,43.007,5.434,5,12
1,4,San Diego St,New Mexico St,.5266,.4676,29,25,4,9,.6170,.5565,81.3,66.5,0,0,22,77,.8787,.7325,0,0,21,72,108.6,112.7,89.4,102.4,.5402,.4892,9,10,4,-1,3,1,2,3,11,40,11,20,0,4,20,7,145.000,70.970,4,13
1,14,Baylor,Nebraska,.5812,.5713,22,19,11,12,.5987,.5775,76.5,71.5,0,0,35,57,.8492,.7977,0,0,31,48,118.3,109.0,101.5,94.8,.5893,.5696,10,9,8,1,8,4,8,7,8,11,8,6,0,1,6,5,138.648,4.206,6,11
1,10,Creighton,Louisiana-Lafayette,.5645,.4815,26,20,7,11,.6280,.5429,83.8,58.5,0,0,15,123,.9121,.6106,0,0,8,115,124.1,110.2,102.2,105.7,.5757,.4966,8,10,12,-2,8,0,4,2,5,36,5,16,0,4,10,6,141.179,4.041,3,14
1,19,Oregon,BYU,.5695,.5330,23,23,9,11,.6040,.5961,82.3,74.8,0,0,20,42,.8524,.7919,0,0,30,50,118.1,114.1,100.0,100.6,.5763,.5727,9,10,7,0,8,3,9,6,8,27,8,12,0,3,13,6,163.195,92.667,7,10
1,40,Wisconsin,American U,.5713,.4757,26,20,7,12,.6382,.5197,84.7,56.7,0,0,11,137,.9000,.6636,0,0,11,96,119.6,103.4,98.0,96.4,.5986,.4763,9,7,10,-1,7,0,4,1,4,50,4,15,0,7,16,11,170.000,23.208,2,15
1,27,Wichita St,Cal Poly,.5129,.4676,34,13,0,19,.6437,.4783,88.4,47.5,0,0,3,190,.9391,.4697,0,0,5,173,118.3,103.5,90.9,104.0,.5446,.5092,12,5,6,-4,3,0,0,4,13,47,13,7,0,8,34,3,296.568,4.958,1,16
1,7,Kentucky,Kansas St,.5494,.5812,24,20,10,12,.6173,.5745,84.9,73.9,0,0,10,49,.8844,.8041,0,0,17,44,116.0,108.6,95.4,94.4,.5966,.5706,7,6,2,6,4,7,6,8,6,14,6,9,0,1,5,10,332.545,100.000,8,9
1,3,St Louis,NCST,.5565,.5573,26,21,6,13,.6057,.5707,78.7,69.7,0,0,30,66,.8286,.7462,0,0,34,66,104.7,114.1,89.5,103.1,.5490,.5678,8,7,6,-3,5,3,4,9,19,10,14,10,1,0,18,7,135.774,140.968,5,12
1,7,Louisville,Manhattan,.5451,.4884,29,25,5,7,.6125,.5640,88.2,67.0,0,0,4,74,.9515,.7434,0,0,2,67,118.3,106.3,88.8,95.8,.5455,.4920,11,11,3,-1,4,0,5,1,16,30,16,15,0,3,7,8,460.000,3.967,4,13
0,-19,UMass,Tennessee,.5565,.5494,24,21,8,12,.6116,.5835,78.1,78.6,0,0,32,31,.7859,.8968,0,0,52,13,109.2,114.0,95.9,93.1,.5662,.5733,7,7,10,0,7,3,4,6,16,7,11,7,1,0,10,5,5.733,24.101,6,11
0,-7,Duke,Mercer,.5573,.4626,26,26,8,8,.6346,.5504,85.3,62.4,0,0,8,103,.9126,.6578,0,0,7,99,123.6,107.9,100.8,100.8,.5907,.4772,9,9,8,-2,6,0,4,2,9,44,9,19,0,5,5,8,185.000,5.567,3,14
1,2,Texas,Arizona St,.5812,.5695,23,21,10,11,.5918,.5810,74.2,75.7,0,0,45,39,.8137,.8009,0,0,39,47,110.1,109.1,95.6,94.7,.5647,.5594,6,6,4,2,6,4,8,6,8,8,8,8,0,0,7,6,61.882,4.256,7,10
1,17,Michigan,Wofford,.5713,.4382,25,20,8,12,.6276,.5032,80.8,49.8,0,0,23,174,.8938,.4484,0,0,15,184,123.3,100.8,100.8,102.5,.5911,.4633,9,10,15,-3,10,0,5,3,5,37,5,17,0,4,10,9,340.000,4.772,2,15
1,23,Kentucky,Hampton,.5557,.4287,34,16,0,17,.6780,.4579,95.3,34.3,0,0,1,288,.9787,.3131,0,0,1,250,119.7,95.6,85.8,102.3,.5704,.4361,12,8,22,-1,11,0,0,1,9,71,9,16,0,11,34,4,461.909,4.405,1,16
1,1,Cincinnati,Purdue,.5264,.5666,22,21,10,12,.5828,.5677,73.0,74.5,0,0,45,39,.8242,.7825,0,0,34,49,106.7,108.5,93.3,97.1,.5516,.5520,7,8,9,2,6,4,3,6,26,14,11,9,3,1,5,4,120.000,53.287,8,9
1,6,West Virginia,Buffalo,.5882,.5170,23,23,9,9,.6042,.5961,79.4,71.3,0,0,22,55,.8539,.7759,0,0,25,54,111.2,109.8,95.4,98.5,.5678,.5409,6,9,6,-2,7,0,8,2,10,18,10,13,0,1,7,8,23.279,5.146,5,12
1,3,Maryland,Valparaiso,.5666,.4939,27,28,6,5,.6262,.5714,78.2,67.7,0,0,27,72,.8289,.7499,0,0,33,63,108.5,103.8,94.6,94.3,.5595,.4750,9,10,6,0,5,0,4,0,12,38,12,18,0,4,8,7,5.161,33.451,4,13
1,8,Butler,Texas,.5728,.5882,22,20,10,13,.5932,.5787,79.3,78.8,0,0,23,25,.8624,.8725,0,0,23,20,107.5,110.3,91.7,93.3,.5672,.5801,8,6,4,-6,6,3,8,12,7,9,7,9,0,0,5,7,63.029,101.412,6,11
1,4,Notre Dame,Northeastern,.5679,.4844,29,23,5,11,.6160,.5434,84.2,58.4,0,0,9,123,.9127,.5980,0,0,10,120,122.2,106.0,99.7,102.4,.5428,.4885,9,9,11,0,7,0,3,0,12,53,12,18,0,7,11,4,26.875,4.096,3,14
1,5,Wichita St,Indiana,.5134,.5666,28,20,4,13,.6155,.5652,83.3,72.9,0,0,13,46,.9044,.7762,0,0,14,49,113.0,116.6,92.9,104.7,.5245,.5683,10,4,2,-1,2,4,2,9,15,9,15,9,0,0,9,4,240.000,122.125,7,10
1,19,Kansas,New Mexico St,.5882,.4326,26,23,8,10,.6687,.5333,86.4,62.7,0,0,8,97,.9111,.6674,0,0,11,88,110.8,104.1,90.5,97.9,.6261,.4759,7,12,17,-3,12,0,7,3,2,38,2,18,0,4,8,13,240.000,90.000,2,15
