Win,Score,Spread,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,16,6,Florida,Pitt,0.5494,0.5573,32,25,2,9,0.6701,0.5875,90.6,84.1,0,0,2,13,0.9476,0.8841,0,0,3,18,117.1,116.3,87.9,95.6,0.5944,0.5563,12,7,18,-2,10,2,2,6,8,11,8,11,0,0,26,10,410,31.548,1,9
0,-17,-9.5,Stephen F Austin,UCLA,0.4497,0.5695,31,26,2,8,0.5688,0.6202,67.7,83.4,0,0,73,16,0.7642,0.8885,0,0,59,16,112.2,117.8,100.3,96.5,0.4463,0.5794,12,9,-1,9,0,7,1,5,28,12,23,7,1,1,28,8,6.491,61.727,12,4
1,2,-8.5,Dayton,Syracuse,0.5565,0.5573,23,27,10,5,0.5824,0.6204,74,84.1,0,0,47,14,0.7834,0.8926,0,0,53,15,113.9,113.4,100.6,93.3,0.5539,0.5537,10,7,2,12,4,7,6,2,21,18,11,8,2,2,6,25,5.234,375,11,3
1,3,-6.5,Stanford,Kansas,0.5695,0.5812,21,24,12,9,0.5835,0.656,76.5,87.5,0,0,36,5,0.8182,0.9108,0,0,37,9,113,118.7,98.1,96.4,0.5771,0.6344,7,8,1,17,5,12,9,7,9,3,9,3,0,0,4,7,5.311,360,10,2
1,18,7,Virginia,Memphis,0.5573,0.5451,28,23,6,9,0.6333,0.5952,86.8,74.5,0,0,6,43,0.9419,0.802,0,0,4,45,114.8,110.6,87.4,96.7,0.574,0.5627,11,7,6,1,5,4,4,7,9,15,9,15,0,0,13,6,33.661,115,1,8
0,-7,-8.5,Harvard,Michigan St,0.4817,0.5713,26,26,4,8,0.5782,0.6156,76.4,84.9,0,0,37,9,0.839,0.9038,0,0,33,10,111.7,118.1,95.5,95.7,0.4797,0.5796,11,7,-2,8,0,7,2,6,20,7,15,7,1,0,9,11,131.533,200,12,4
0,-2,-1.5,North Carolina,Iowa St,0.5573,0.5812,23,26,9,7,0.6061,0.6344,79.2,84.1,0,0,29,12,0.8646,0.8758,0,0,26,23,111.7,117.3,94.1,96.8,0.576,0.5814,10,9,5,11,5,8,5,5,12,8,7,8,1,0,12,14,265,161,6,3
1,12,-4.5,UCONN,Villanova,0.5451,0.5645,26,28,8,4,0.6087,0.6406,79.7,86.4,0,0,28,7,0.8688,0.9196,0,0,25,6,110.1,117.3,91.8,92.8,0.5693,0.5678,9,10,10,9,7,6,4,3,13,6,13,6,0,0,9,11,212.667,61.2,7,2
1,23,7.5,Arizona,Gonzaga,0.5695,0.533,30,28,4,6,0.6664,0.6114,91.2,80.5,0,0,1,25,0.954,0.8804,0,0,1,20,113.4,112,85.8,92.5,0.5965,0.5428,9,9,20,1,11,2,2,3,8,15,8,15,0,0,21,7,241.971,130,1,8
0,-19,-3.5,North Dakota St,San Diego St,0.4867,0.5266,25,29,6,4,0.5928,0.617,70.1,81.3,0,0,64,22,0.7713,0.8787,0,0,55,21,115.9,108.6,102.9,89.4,0.5182,0.5402,11,9,-2,4,0,3,2,2,16,11,11,11,1,0,9,20,5.434,145,12,4
1,30,-3.5,Baylor,Creighton,0.5812,0.5645,22,26,11,7,0.5987,0.628,76.5,83.8,0,0,35,15,0.8492,0.9121,0,0,31,8,118.3,124.1,101.5,102.2,0.5893,0.5757,10,8,8,12,8,8,8,4,8,5,8,5,0,0,6,10,138.648,141.179,6,3
0,-8,-5.5,Oregon,Wisconsin,0.5695,0.5713,23,26,9,7,0.604,0.6382,82.3,84.7,0,0,20,11,0.8524,0.9,0,0,30,11,118.1,119.6,100,98,0.5763,0.5986,9,9,7,10,8,7,9,4,8,4,8,4,0,0,13,16,163.195,170,7,2
0,-2,4.5,Wichita St,Kentucky,0.5129,0.5494,34,24,0,10,0.6437,0.6173,88.4,84.9,0,0,3,10,0.9391,0.8844,0,0,5,17,118.3,116,90.9,95.4,0.5446,0.5966,12,7,6,2,3,4,0,6,13,6,13,6,0,0,34,5,296.568,332.545,1,8
0,-15,-10,St Louis,Louisville,0.5565,0.5451,26,29,6,5,0.6057,0.6125,78.7,88.2,0,0,30,4,0.8286,0.9515,0,0,34,2,104.7,118.3,89.5,88.8,0.549,0.5455,8,11,6,3,5,4,4,5,19,16,14,16,1,0,18,7,135.774,460,5,4
1,20,8.5,Tennessee,Mercer,0.5494,0.4626,21,26,12,8,0.5835,0.5504,78.6,62.4,0,0,31,103,0.8968,0.6578,0,0,13,99,114,107.9,93.1,100.8,0.5733,0.4772,7,9,0,-2,3,0,6,2,7,44,7,19,0,5,5,8,24.101,5.567,11,14
0,-14,-5,Texas,Michigan,0.5812,0.5713,23,25,10,8,0.5918,0.6276,74.2,80.8,0,0,45,23,0.8137,0.8938,0,0,39,15,110.1,123.3,95.6,100.8,0.5647,0.5911,6,9,4,15,6,10,8,5,8,5,8,5,0,0,7,10,61.882,340,7,2
1,13,16.5,Kentucky,Cincinnati,0.5557,0.5264,34,22,0,10,0.678,0.5828,95.3,73,0,0,1,45,0.9787,0.8242,0,0,1,34,119.7,106.7,85.8,93.3,0.5704,0.5516,12,7,22,9,11,6,0,3,9,26,9,11,0,3,34,5,461.909,120,1,8
1,10,1,West Virginia,Maryland,0.5882,0.5666,23,27,9,6,0.6042,0.6262,79.4,78.2,0,0,22,27,0.8539,0.8289,0,0,25,33,111.2,108.5,95.4,94.6,0.5678,0.5595,6,9,6,6,7,5,8,4,10,12,10,12,0,0,7,8,23.279,5.161,5,4
0,-3,-4.5,Butler,Notre Dame,0.5728,0.5679,22,29,10,5,0.5932,0.616,79.3,84.2,0,0,23,9,0.8624,0.9127,0,0,23,10,107.5,122.2,91.7,99.7,0.5672,0.5428,8,9,4,11,6,7,8,3,7,12,7,12,0,0,5,11,63.029,26.875,6,3
1,13,-1,Wichita St,Kansas,0.5134,0.5882,28,26,4,8,0.6155,0.6687,83.3,86.4,0,0,13,8,0.9044,0.9111,0,0,14,11,113,110.8,92.9,90.5,0.5245,0.6261,10,7,2,17,2,12,2,7,15,2,15,2,0,0,9,8,240,240,7,2
1,7,12.5,Wisconsin,Oregon,0.5666,0.5551,31,25,3,9,0.6678,0.5977,91.8,72.9,0,0,2,47,0.9615,0.7973,0,0,3,46,124.7,113.3,94.3,100.6,0.5838,0.5621,11,10,16,1,9,3,2,5,10,13,5,8,1,1,10,7,295,201.412,1,8
0,-9,-5,Arkansas,North Carolina,0.5557,0.5679,26,24,8,11,0.6123,0.6273,79.9,83.7,0,0,21,10,0.8416,0.9019,0,0,29,16,113,115.3,97.7,95,0.5622,0.6153,9,7,5,4,4,7,3,10,11,6,11,6,0,0,7,6,5.494,210,5,4
1,8,6.5,Xavier,Georgia St,0.5728,0.4796,21,24,13,9,0.5948,0.5695,77.4,65.9,0,0,28,79,0.8518,0.7345,0,0,26,71,111.9,108.4,96.1,99.2,0.59,0.4998,7,10,9,-3,8,0,7,3,10,31,5,16,1,3,5,5,101.645,5.726,6,14
0,-15,-9.5,Ohio St,Arizona,0.5666,0.5551,23,31,10,3,0.5798,0.6631,82.2,91,0,0,17,3,0.868,0.9674,0,0,21,2,111.6,116,94.7,86.4,0.5474,0.571,7,11,-5,18,1,9,7,0,11,7,11,7,0,0,5,12,250,246.314,10,2
0,-3,10,Villanova,NCST,0.5728,0.5679,32,20,2,13,0.6691,0.5799,90.4,74.8,0,0,6,37,0.9571,0.8111,0,0,5,38,120.8,111.5,92.2,98.2,0.5709,0.5883,12,7,25,0,13,4,1,8,8,11,8,6,0,1,15,6,70.8,155,1,8
0,-13,2.5,Northern Iowa,Louisville,0.5134,0.5679,30,24,3,8,0.6222,0.6089,83.3,82.3,0,0,14,16,0.908,0.8756,0,0,12,18,113.8,105.9,93.2,89.4,0.5164,0.5725,11,7,4,-1,3,3,2,7,17,8,17,8,0,0,16,11,4.991,450,5,4
0,-6,-4,Dayton,Oklahoma,0.532,0.5882,25,22,8,10,0.592,0.6145,76.7,83.5,0,0,32,11,0.8057,0.915,0,0,40,9,107.2,109.3,94.7,88.9,0.5272,0.5862,8,9,-1,18,1,12,3,6,17,8,12,8,1,0,8,5,222.857,50.968,11,3
1,6,-4.5,Michigan St,Virginia,0.5666,0.5679,23,29,11,3,0.607,0.656,81.1,90.9,0,0,18,4,0.8786,0.9587,0,0,17,4,114.1,112.2,96.1,85.4,0.5901,0.5729,8,10,1,13,4,8,7,3,11,8,6,8,1,0,4,19,310,101.971,7,2
1,19,9.5,Duke,San Diego St,0.5679,0.5131,29,26,4,8,0.6613,0.6011,87.8,73.3,0,0,7,42,0.9395,0.8468,0,0,7,27,122,102.4,96.1,88.3,0.5874,0.5438,11,9,19,3,11,4,3,5,7,18,7,13,0,1,14,5,110,190,1,8
1,11,5,Utah,Georgetown,0.5551,0.5728,23,21,8,10,0.6142,0.6036,83.3,79.9,0,0,12,20,0.9275,0.867,0,0,8,22,113,110.3,90.6,93.7,0.5639,0.5883,8,7,-1,-2,3,4,7,10,9,8,9,8,0,0,7,4,4.296,17.182,5,4
1,17,5.5,UCLA,UAB,0.5551,0.4924,20,19,13,15,0.5719,0.5198,73,56.2,0,0,44,134,0.8056,0.5979,0,0,41,121,110.2,103.8,97.4,100.3,0.5676,0.521,8,8,-4,-1,2,1,8,3,9,35,9,10,0,5,4,3,136.152,4.745,11,14
0,-19,-6,Iowa,Gonzaga,0.5666,0.5221,21,32,11,2,0.5782,0.643,75.4,90.4,0,0,35,5,0.8595,0.944,0,0,24,6,111.1,119.4,94.9,93.4,0.5656,0.5437,8,11,2,10,4,6,6,2,9,16,9,16,0,0,6,22,23.002,135,7,2
1,12,7.5,Kansas,UCONN,0.5884,0.535,30,24,4,10,0.6683,0.5853,87.9,79.6,0,0,5,26,0.9503,0.8677,0,0,1,25,118.9,110.4,92,93.7,0.6022,0.557,12,8,27,1,15,3,3,5,12,12,7,12,1,0,14,5,110,288.619,1,9
1,13,7.5,Maryland,Hawaii,0.5515,0.4912,25,27,8,5,0.6147,0.5508,81.7,69.5,0,0,20,67,0.8725,0.7635,0,0,23,61,113.8,107,96.3,96.6,0.5677,0.4733,7,10,4,-2,5,0,6,2,13,22,8,17,1,1,9,8,62.91,5.512,5,13
0,-8,2,Wichita St,Miami,0.4978,0.5714,24,25,8,7,0.576,0.6333,79.7,83.6,0,0,25,15,0.9005,0.8971,0,0,12,13,108.9,117.2,89.9,97.1,0.5252,0.5822,9,9,-1,11,1,7,3,3,13,8,13,8,0,0,12,8,295,54.177,11,3
