Win,Score,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,16,Florida,Pitt,.5494,.5573,32,25,2,9,.6701,.5875,90.6,84.1,0,0,2,13,.9476,.8841,0,0,3,18,117.1,116.3,87.9,95.6,.5944,.5563,12,7,18,-2,10,2,2,6,8,11,8,11,0,0,26,10,410.000,31.548,1,9
0,-17,Stephen F Austin,UCLA,.4497,.5695,31,26,2,8,.5688,.6202,67.7,83.4,0,0,73,16,.7642,.8885,0,0,59,16,112.2,117.8,100.3,96.5,.4463,.5794,12,9,-1,9,0,7,1,5,28,12,23,7,1,1,28,8,6.491,61.727,12,4
1,2,Dayton,Syracuse,.5565,.5573,23,27,10,5,.5824,.6204,74.0,84.1,0,0,47,14,.7834,.8926,0,0,53,15,113.9,113.4,100.6,93.3,.5539,.5537,10,7,2,12,4,7,6,2,21,18,11,8,2,2,6,25,5.234,375.000,11,3
1,3,Stanford,Kansas,.5695,.5812,21,24,12,9,.5835,.6560,76.5,87.5,0,0,36,5,.8182,.9108,0,0,37,9,113.0,118.7,98.1,96.4,.5771,.6344,7,8,1,17,5,12,9,7,9,3,9,3,0,0,4,7,5.311,360.000,10,2
1,18,Virginia,Memphis,.5573,.5451,28,23,6,9,.6333,.5952,86.8,74.5,0,0,6,43,.9419,.8020,0,0,4,45,114.8,110.6,87.4,96.7,.5740,.5627,11,7,6,1,5,4,4,7,9,15,9,15,0,0,13,6,33.661,115.000,1,8
0,-7,Harvard,Michigan St,.4817,.5713,26,26,4,8,.5782,.6156,76.4,84.9,0,0,37,9,.8390,.9038,0,0,33,10,111.7,118.1,95.5,95.7,.4797,.5796,11,7,-2,8,0,7,2,6,20,7,15,7,1,0,9,11,131.533,200.000,12,4
0,-2,North Carolina,Iowa St,.5573,.5812,23,26,9,7,.6061,.6344,79.2,84.1,0,0,29,12,.8646,.8758,0,0,26,23,111.7,117.3,94.1,96.8,.5760,.5814,10,9,5,11,5,8,5,5,12,8,7,8,1,0,12,14,265.000,161.000,6,3
1,12,UCONN,Villanova,.5451,.5645,26,28,8,4,.6087,.6406,79.7,86.4,0,0,28,7,.8688,.9196,0,0,25,6,110.1,117.3,91.8,92.8,.5693,.5678,9,10,10,9,7,6,4,3,13,6,13,6,0,0,9,11,212.667,61.200,7,2
1,23,Arizona,Gonzaga,.5695,.5330,30,28,4,6,.6664,.6114,91.2,80.5,0,0,1,25,.9540,.8804,0,0,1,20,113.4,112.0,85.8,92.5,.5965,.5428,9,9,20,1,11,2,2,3,8,15,8,15,0,0,21,7,241.971,130.000,1,8
0,-19,North Dakota St,San Diego St,.4867,.5266,25,29,6,4,.5928,.6170,70.1,81.3,0,0,64,22,.7713,.8787,0,0,55,21,115.9,108.6,102.9,89.4,.5182,.5402,11,9,-2,4,0,3,2,2,16,11,11,11,1,0,9,20,5.434,145.000,12,4
