Win,Score,Spread,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,10,10,Florida,Dayton,0.5494,0.5565,32,23,2,10,0.6701,0.5824,90.6,74,0,0,2,47,0.9476,0.7834,0,0,3,53,117.1,113.9,87.9,100.6,0.5944,0.5539,12,10,18,2,10,4,2,6,8,21,8,11,0,2,26,6,410,5.234,1,11
0,-6,5.5,Michigan St,UCONN,0.5713,0.5451,26,26,8,8,0.6156,0.6087,84.9,79.7,0,0,9,28,0.9038,0.8688,0,0,10,25,118.1,110.1,95.7,91.8,0.5796,0.5693,7,9,8,10,7,7,6,4,7,13,7,13,0,0,11,9,200,212.667,4,7
0,-1,3,Arizona,Wisconsin,0.5695,0.5713,30,26,4,7,0.6664,0.6382,91.2,84.7,0,0,1,11,0.954,0.9,0,0,1,11,113.4,119.6,85.8,98,0.5965,0.5986,9,9,20,10,11,7,2,4,8,4,8,4,0,0,21,16,241.971,170,1,2
1,3,2,Kentucky,Michigan,0.5494,0.5713,24,25,10,8,0.6173,0.6276,84.9,80.8,0,0,10,23,0.8844,0.8938,0,0,17,15,116,123.3,95.4,100.8,0.5966,0.5911,7,9,2,15,4,10,6,5,6,5,6,5,0,0,5,10,332.545,340,8,2
1,2,11,Kentucky,Notre Dame,0.5557,0.5679,34,29,0,5,0.678,0.616,95.3,84.2,0,0,1,9,0.9787,0.9127,0,0,1,10,119.7,122.2,85.8,99.7,0.5704,0.5428,12,9,22,11,11,7,0,3,9,12,9,12,0,0,34,11,461.909,26.875,1,3
1,7,-1.5,Wisconsin,Arizona,0.5666,0.5551,31,31,3,3,0.6678,0.6631,91.8,91,0,0,2,3,0.9615,0.9674,0,0,3,2,124.7,116,94.3,86.4,0.5838,0.571,11,11,16,18,9,9,2,0,10,7,5,7,1,0,10,12,295,246.314,1,2
0,-6,-2.5,Louisville,Michigan St,0.5679,0.5666,24,23,8,11,0.6089,0.607,82.3,81.1,0,0,16,18,0.8756,0.8786,0,0,18,17,105.9,114.1,89.4,96.1,0.5725,0.5901,7,8,-1,1,3,4,7,7,8,11,8,6,0,1,11,4,450,310,4,7
1,14,2,Duke,Gonzaga,0.5679,0.5221,29,32,4,2,0.6613,0.643,87.8,90.4,0,0,7,5,0.9395,0.944,0,0,7,6,122,119.4,96.1,93.4,0.5874,0.5437,11,11,19,10,11,6,3,2,7,16,7,16,0,0,14,22,110,135,1,2
0,-5,2,Kansas,Villanova,0.5884,0.5608,30,29,4,5,0.6683,0.6455,87.9,88.8,0,0,5,3,0.9503,0.9352,0,0,1,5,118.9,117.2,92,93,0.6022,0.5854,12,10,27,9,15,7,3,5,12,9,7,9,1,0,14,9,110,70,1,2
0,-12,1,Oregon,Oklahoma,0.5776,0.5884,28,25,6,7,0.656,0.637,83.5,86.3,0,0,16,6,0.9123,0.9199,0,0,9,7,119.4,115.4,97.4,93.3,0.6001,0.5874,10,7,21,14,12,10,3,6,5,9,5,9,0,0,8,12,220,155,1,2
