Win,Score,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,10,Florida,Dayton,.5494,.5565,32,23,2,10,.6701,.5824,90.6,74.0,0,0,2,47,.9476,.7834,0,0,3,53,117.1,113.9,87.9,100.6,.5944,.5539,12,10,18,2,10,4,2,6,8,21,8,11,0,2,26,6,410.000,5.234,1,11
0,-6,Michigan St,UCONN,.5713,.5451,26,26,8,8,.6156,.6087,84.9,79.7,0,0,9,28,.9038,.8688,0,0,10,25,118.1,110.1,95.7,91.8,.5796,.5693,7,9,8,10,7,7,6,4,7,13,7,13,0,0,11,9,200.000,212.667,4,7
0,-1,Arizona,Wisconsin,.5695,.5713,30,26,4,7,.6664,.6382,91.2,84.7,0,0,1,11,.9540,.9000,0,0,1,11,113.4,119.6,85.8,98.0,.5965,.5986,9,9,20,10,11,7,2,4,8,4,8,4,0,0,21,16,241.971,170.000,1,2
1,3,Kentucky,Michigan,.5494,.5713,24,25,10,8,.6173,.6276,84.9,80.8,0,0,10,23,.8844,.8938,0,0,17,15,116.0,123.3,95.4,100.8,.5966,.5911,7,9,2,15,4,10,6,5,6,5,6,5,0,0,5,10,332.545,340.000,8,2
1,2,Kentucky,Notre Dame,.5557,.5679,34,29,0,5,.6780,.6160,95.3,84.2,0,0,1,9,.9787,.9127,0,0,1,10,119.7,122.2,85.8,99.7,.5704,.5428,12,9,22,11,11,7,0,3,9,12,9,12,0,0,34,11,461.909,26.875,1,3
1,7,Wisconsin,Arizona,.5666,.5551,31,31,3,3,.6678,.6631,91.8,91.0,0,0,2,3,.9615,.9674,0,0,3,2,124.7,116.0,94.3,86.4,.5838,.5710,11,11,16,18,9,9,2,0,10,7,5,7,1,0,10,12,295.000,246.314,1,2
0,-6,Louisville,Michigan St,.5679,.5666,24,23,8,11,.6089,.6070,82.3,81.1,0,0,16,18,.8756,.8786,0,0,18,17,105.9,114.1,89.4,96.1,.5725,.5901,7,8,-1,1,3,4,7,7,8,11,8,6,0,1,11,4,450.000,310.000,4,7
1,14,Duke,Gonzaga,.5679,.5221,29,32,4,2,.6613,.6430,87.8,90.4,0,0,7,5,.9395,.9440,0,0,7,6,122.0,119.4,96.1,93.4,.5874,.5437,11,11,19,10,11,6,3,2,7,16,7,16,0,0,14,22,110.000,135.000,1,2
0,-5,Kansas,Villanova,.5884,.5608,30,29,4,5,.6683,.6455,87.9,88.8,0,0,5,3,.9503,.9352,0,0,1,5,118.9,117.2,92.0,93.0,.6022,.5854,12,10,27,9,15,7,3,5,12,9,7,9,1,0,14,9,110.000,70.000,1,2
0,-12,Oregon,Oklahoma,.5776,.5884,28,25,6,7,.6560,.6370,83.5,86.3,0,0,16,6,.9123,.9199,0,0,9,7,119.4,115.4,97.4,93.3,.6001,.5874,10,7,21,14,12,10,3,6,5,9,5,9,0,0,8,12,220.000,155.000,1,2
1,14,North Carolina,Notre Dame,.5714,.5714,28,21,6,11,.6420,.5874,90.3,77.2,0,0,1,33,.9407,.8131,0,0,4,39,119.5,117.8,94.0,103.7,.5774,.5725,9,7,5,5,5,5,5,5,7,10,7,10,0,0,12,4,220.000,191.406,1,6
0,-6,Virginia,Syracuse,.5714,.5714,26,19,7,13,.6532,.5643,89.2,75.9,0,0,2,39,.9482,.8111,0,0,2,41,118.3,109.4,91.9,96.4,.6005,.5621,9,6,15,4,9,5,3,6,6,15,6,10,0,1,11,6,101.314,167.323,1,10
0,-7,Florida,South Carolina,.5579,.5579,24,22,8,10,.6391,.5866,0,0,17.6,9.5,8,43,0,0,26.32,16.92,9,30,115.9,105.5,89.5,88.5,.5934,.5623,9,6,4,1,6,3,8,5,7,6,7,6,0,0,9,8,103.788,5.310,4,7
1,24,Gonzaga,Xavier,.5253,.5715,32,21,1,13,.6438,.5926,0,0,19.6,10.4,2,35,0,0,33.03,15.21,1,40,120.7,114.8,87.6,99.5,.5402,.5870,11,5,12,-1,6,4,0,9,14,6,14,6,0,0,29,7,320.000,155.000,1,11
0,-14,Kansas,Oregon,.5750,.5527,28,29,4,5,.6525,.6426,0,0,16.8,16.3,10,13,0,0,26.01,23.46,10,16,120.8,117.7,94.9,93.9,.5811,.5683,10,10,14,5,8,4,2,3,8,8,8,8,0,0,18,17,190.000,240.000,1,3
1,2,North Carolina,Kentucky,.5816,.5579,27,29,7,5,.6469,.6519,0,0,19.5,17.1,3,9,0,0,27.91,27.15,3,4,122.1,119.2,94.1,91.9,.5901,.5863,8,11,15,12,10,8,5,4,6,8,6,8,0,0,7,11,370.000,370.000,1,2
0,-16,Kansas St,Loyola-Chicago,.5789,.5260,22,28,11,5,.5690,.5952,0,0,9.2,8.9,46,50,0,0,14.75,15.09,44,42,112.2,111.3,97.4,96.2,.5487,.5122,6,11,-3,1,3,1,9,1,8,22,8,12,0,2,4,10,62.483,4.953,9,11
0,-4,Florida St,Michigan,.5755,.5502,20,28,11,7,.5699,.6172,0,0,10.3,14.6,39,14,0,0,15.82,23.19,35,10,115.8,115.9,100.0,92.7,.5451,.5572,6,11,6,6,6,5,6,4,17,19,12,14,1,1,9,9,62.795,186.000,9,3
1,12,Villanova,Texas Tech,.5772,.5789,30,24,4,9,.6599,.5983,0,0,21.5,14.8,1,12,0,0,31.40,21.95,2,12,127.4,114.0,96.0,92.1,.5888,.5589,9,7,23,7,13,6,3,5,7,8,7,8,0,0,13,8,285.000,18.063,1,3
1,4,Kansas,Duke,.5789,.5755,27,26,7,7,.6381,.6380,0,0,16.3,19.5,8,3,0,0,23.24,29.12,9,3,120.9,122.6,97.7,86.1,.6041,.5845,9,8,20,11,11,7,2,3,4,9,4,9,0,0,7,11,265.000,270.000,1,2
0,-1,Duke,Michigan St,.5672,.5665,29,28,5,6,.6701,.6457,0,0,21.7,19.8,3,4,0,0,31.99,31.36,3,4,120.1,121.7,88.1,90.4,.6143,.5817,9,10,19,13,12,8,5,3,9,12,9,7,0,1,9,13,250.000,125.000,1,2
0,-6,Gonzaga,Texas Tech,.5296,.5826,30,26,3,6,.6432,.6192,0,0,22.8,16.9,2,9,0,0,32.79,26.75,2,9,125.1,112.7,92.3,85.9,.5537,.5569,11,10,5,5,4,5,3,5,15,7,15,7,0,0,21,10,380.000,191.688,1,3
1,5,Virginia,Purdue,.5672,.5665,29,23,3,9,.6554,.6197,0,0,23.7,16.7,1,10,0,0,35.66,26.05,1,10,123.6,121.1,87.9,95.0,.5738,.5775,10,9,17,5,10,6,3,7,12,11,12,6,0,1,16,8,90.000,200.000,1,3
1,6,Auburn,Kentucky,.5652,.5652,26,27,9,6,.6189,.6426,0,0,15.6,17.7,12,7,0,0,23.33,27.41,13,7,119.6,118.2,96.2,90.8,.5787,.5878,10,9,5,13,5,9,5,5,7,8,7,8,0,0,8,10,62.397,290.000,5,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-10,Florida,UCONN,.5494,.5451,32,26,2,8,.6701,.6087,90.6,79.7,0,0,2,28,.9476,.8688,0,0,3,25,117.1,110.1,87.9,91.8,.5944,.5693,12,9,18,10,10,7,2,4,8,13,8,13,0,0,26,9,410.000,212.667,1,7
0,-1,Wisconsin,Kentucky,.5713,.5494,26,24,7,10,.6382,.6173,84.7,84.9,0,0,11,10,.9000,.8844,0,0,11,17,119.6,116.0,98.0,95.4,.5986,.5966,9,7,10,2,7,4,4,6,4,6,4,6,0,0,16,5,170.000,332.545,2,8
0,-7,Kentucky,Wisconsin,.5557,.5666,34,31,0,3,.6780,.6678,95.3,91.8,0,0,1,2,.9787,.9615,0,0,1,3,119.7,124.7,85.8,94.3,.5704,.5838,12,11,22,16,11,9,0,2,9,10,9,5,0,1,34,10,461.909,295.000,1,1
0,-20,Michigan St,Duke,.5666,.5679,23,29,11,4,.6070,.6613,81.1,87.8,0,0,18,7,.8786,.9395,0,0,17,7,114.1,122.0,96.1,96.1,.5901,.5874,8,11,1,19,4,11,7,3,11,7,6,7,1,0,4,14,310.000,110.000,7,1
1,44,Villanova,Oklahoma,.5608,.5884,29,25,5,7,.6455,.6370,88.8,86.3,0,0,3,6,.9352,.9199,0,0,5,7,117.2,115.4,93.0,93.3,.5854,.5874,10,7,9,14,7,10,5,6,9,9,9,9,0,0,9,12,70.000,155.000,2,2
1,17,North Carolina,Syracuse,.5714,.5714,28,19,6,13,.6420,.5643,90.3,75.9,0,0,1,39,.9407,.8111,0,0,4,41,119.5,109.4,94.0,96.4,.5774,.5621,9,6,5,4,5,5,5,6,7,15,7,10,0,1,12,6,220.000,167.323,1,10
0,-4,South Carolina,Gonzaga,.5579,.5253,22,32,10,1,.5866,.6438,0,0,9.5,19.6,43,2,0,0,16.92,33.03,30,1,105.5,120.7,88.5,87.6,.5623,.5402,6,11,1,12,3,6,5,0,6,14,6,14,0,0,8,29,5.310,320.000,7,1
