Win,Score,Spread,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,11,5.5,Florida,UCLA,0.5494,0.5695,32,26,2,8,0.6701,0.6202,90.6,83.4,0,0,2,16,0.9476,0.8885,0,0,3,16,117.1,117.8,87.9,96.5,0.5944,0.5794,12,9,18,9,10,7,2,5,8,12,8,7,0,1,26,8,410,61.727,1,4
1,10,-3,Dayton,Stanford,0.5565,0.5695,23,21,10,12,0.5824,0.5835,74,76.5,0,0,47,36,0.7834,0.8182,0,0,53,37,113.9,113,100.6,98.1,0.5539,0.5771,10,7,2,1,4,5,6,9,21,9,11,9,2,0,6,4,5.234,5.311,11,10
0,-2,-3,Virginia,Michigan St,0.5573,0.5713,28,26,6,8,0.6333,0.6156,86.8,84.9,0,0,6,9,0.9419,0.9038,0,0,4,10,114.8,118.1,87.4,95.7,0.574,0.5796,11,7,6,8,5,7,4,6,9,7,9,7,0,0,13,11,33.661,200,1,4
0,-5,0,Iowa St,UCONN,0.5812,0.5451,26,26,7,8,0.6344,0.6087,84.1,79.7,0,0,12,28,0.8758,0.8688,0,0,23,25,117.3,110.1,96.8,91.8,0.5814,0.5693,9,9,11,10,8,7,5,4,8,13,8,13,0,0,14,9,161,212.667,3,7
1,6,7.5,Arizona,San Diego St,0.5695,0.5266,30,29,4,4,0.6664,0.617,91.2,81.3,0,0,1,22,0.954,0.8787,0,0,1,21,113.4,108.6,85.8,89.4,0.5965,0.5402,9,9,20,4,11,3,2,2,8,11,8,11,0,0,21,20,241.971,145,1,4
0,-17,-4,Baylor,Wisconsin,0.5812,0.5713,22,26,11,7,0.5987,0.6382,76.5,84.7,0,0,35,11,0.8492,0.9,0,0,31,11,118.3,119.6,101.5,98,0.5893,0.5986,10,9,8,10,8,7,8,4,8,4,8,4,0,0,6,16,138.648,170,6,2
1,5,-4.5,Kentucky,Louisville,0.5494,0.5451,24,29,10,5,0.6173,0.6125,84.9,88.2,0,0,10,4,0.8844,0.9515,0,0,17,2,116,118.3,95.4,88.8,0.5966,0.5455,7,11,2,3,4,4,6,5,6,16,6,16,0,0,5,7,332.545,460,8,4
0,-2,-2,Tennessee,Michigan,0.5494,0.5713,21,25,12,8,0.5835,0.6276,78.6,80.8,0,0,31,23,0.8968,0.8938,0,0,13,15,114,123.3,93.1,100.8,0.5733,0.5911,7,9,0,15,3,10,6,5,7,5,7,5,0,0,5,10,24.101,340,11,2
1,39,13,Kentucky,West Virginia,0.5557,0.5882,34,23,0,9,0.678,0.6042,95.3,79.4,0,0,1,22,0.9787,0.8539,0,0,1,25,119.7,111.2,85.8,95.4,0.5704,0.5678,12,6,22,6,11,7,0,8,9,10,9,10,0,0,34,7,461.909,23.279,1,5
1,11,-1,Notre Dame,Wichita St,0.5679,0.5134,29,28,5,4,0.616,0.6155,84.2,83.3,0,0,9,13,0.9127,0.9044,0,0,10,14,122.2,113,99.7,92.9,0.5428,0.5245,9,10,11,2,7,2,3,2,12,15,12,15,0,0,11,9,26.875,240,3,7
