Win,Score,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,11,Florida,UCLA,.5494,.5695,32,26,2,8,.6701,.6202,90.6,83.4,0,0,2,16,.9476,.8885,0,0,3,16,117.1,117.8,87.9,96.5,.5944,.5794,12,9,18,9,10,7,2,5,8,12,8,7,0,1,26,8,410.000,61.727,1,4
1,10,Dayton,Stanford,.5565,.5695,23,21,10,12,.5824,.5835,74.0,76.5,0,0,47,36,.7834,.8182,0,0,53,37,113.9,113.0,100.6,98.1,.5539,.5771,10,7,2,1,4,5,6,9,21,9,11,9,2,0,6,4,5.234,5.311,11,10
0,-2,Virginia,Michigan St,.5573,.5713,28,26,6,8,.6333,.6156,86.8,84.9,0,0,6,9,.9419,.9038,0,0,4,10,114.8,118.1,87.4,95.7,.5740,.5796,11,7,6,8,5,7,4,6,9,7,9,7,0,0,13,11,33.661,200.000,1,4
0,-5,Iowa St,UCONN,.5812,.5451,26,26,7,8,.6344,.6087,84.1,79.7,0,0,12,28,.8758,.8688,0,0,23,25,117.3,110.1,96.8,91.8,.5814,.5693,9,9,11,10,8,7,5,4,8,13,8,13,0,0,14,9,161.000,212.667,3,7
1,6,Arizona,San Diego St,.5695,.5266,30,29,4,4,.6664,.6170,91.2,81.3,0,0,1,22,.9540,.8787,0,0,1,21,113.4,108.6,85.8,89.4,.5965,.5402,9,9,20,4,11,3,2,2,8,11,8,11,0,0,21,20,241.971,145.000,1,4
0,-17,Baylor,Wisconsin,.5812,.5713,22,26,11,7,.5987,.6382,76.5,84.7,0,0,35,11,.8492,.9000,0,0,31,11,118.3,119.6,101.5,98.0,.5893,.5986,10,9,8,10,8,7,8,4,8,4,8,4,0,0,6,16,138.648,170.000,6,2
1,5,Kentucky,Louisville,.5494,.5451,24,29,10,5,.6173,.6125,84.9,88.2,0,0,10,4,.8844,.9515,0,0,17,2,116.0,118.3,95.4,88.8,.5966,.5455,7,11,2,3,4,4,6,5,6,16,6,16,0,0,5,7,332.545,460.000,8,4
0,-2,Tennessee,Michigan,.5494,.5713,21,25,12,8,.5835,.6276,78.6,80.8,0,0,31,23,.8968,.8938,0,0,13,15,114.0,123.3,93.1,100.8,.5733,.5911,7,9,0,15,3,10,6,5,7,5,7,5,0,0,5,10,24.101,340.000,11,2
1,39,Kentucky,West Virginia,.5557,.5882,34,23,0,9,.6780,.6042,95.3,79.4,0,0,1,22,.9787,.8539,0,0,1,25,119.7,111.2,85.8,95.4,.5704,.5678,12,6,22,6,11,7,0,8,9,10,9,10,0,0,34,7,461.909,23.279,1,5
1,11,Notre Dame,Wichita St,.5679,.5134,29,28,5,4,.6160,.6155,84.2,83.3,0,0,9,13,.9127,.9044,0,0,10,14,122.2,113.0,99.7,92.9,.5428,.5245,9,10,11,2,7,2,3,2,12,15,12,15,0,0,11,9,26.875,240.000,3,7
1,7,Wisconsin,North Carolina,.5666,.5679,31,24,3,11,.6678,.6273,91.8,83.7,0,0,2,10,.9615,.9019,0,0,3,16,124.7,115.3,94.3,95.0,.5838,.6153,11,7,16,4,9,7,2,10,10,6,5,6,1,0,10,6,295.000,210.000,1,4
0,-8,Xavier,Arizona,.5728,.5551,21,31,13,3,.5948,.6631,77.4,91.0,0,0,28,3,.8518,.9674,0,0,26,2,111.9,116.0,96.1,86.4,.5900,.5710,7,11,9,18,8,9,7,0,10,7,5,7,1,0,5,12,101.645,246.314,6,2
0,-10,NCST,Louisville,.5679,.5679,20,24,13,8,.5799,.6089,74.8,82.3,0,0,37,16,.8111,.8756,0,0,38,18,111.5,105.9,98.2,89.4,.5883,.5725,7,7,0,-1,4,3,8,7,11,8,6,8,1,0,6,11,155.000,450.000,8,4
0,-4,Oklahoma,Michigan St,.5882,.5666,22,23,10,11,.6145,.6070,83.5,81.1,0,0,11,18,.9150,.8786,0,0,9,17,109.3,114.1,88.9,96.1,.5862,.5901,9,8,18,1,12,4,6,7,8,11,8,6,0,1,5,4,50.968,310.000,3,7
1,6,Duke,Utah,.5679,.5551,29,23,4,8,.6613,.6142,87.8,83.3,0,0,7,12,.9395,.9275,0,0,7,8,122.0,113.0,96.1,90.6,.5874,.5639,11,8,19,-1,11,3,3,7,7,9,7,9,0,0,14,7,110.000,4.296,1,5
0,-12,UCLA,Gonzaga,.5551,.5221,20,32,13,2,.5719,.6430,73.0,90.4,0,0,44,5,.8056,.9440,0,0,41,6,110.2,119.4,97.4,93.4,.5676,.5437,8,11,-4,10,2,6,8,2,9,16,9,16,0,0,4,22,136.152,135.000,11,2
1,16,Kansas,Maryland,.5884,.5515,30,25,4,8,.6683,.6147,87.9,81.7,0,0,5,20,.9503,.8725,0,0,1,23,118.9,113.8,92.0,96.3,.6022,.5677,12,7,27,4,15,5,3,6,12,13,7,8,1,1,14,9,110.000,62.910,1,5
0,-23,Miami,Villanova,.5714,.5608,25,29,7,5,.6333,.6455,83.6,88.8,0,0,15,3,.8971,.9352,0,0,13,5,117.2,117.2,97.1,93.0,.5822,.5854,9,10,11,9,7,7,3,5,8,9,8,9,0,0,8,9,54.177,70.000,3,2
